Season,Team,Gtm,Date,Home,Opp,Rslt,Team_pts,Opp_pts,OT,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,2P,2PA,2P%,eFG%,Team_FT,Team_FTA,Team_FT%,Team_ORB,DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,2P.1,2PA.1,2P%.1,eFG%.1,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,DRB.1,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
2022,GSW,69,2022-03-14,H,WAS,W,126,112,,45,84,.536,18,45,.400,27,39,.692,.643,18,22,.818,6,38,44,26,7,4,13,21,42,82,.512,10,26,.385,32,56,.571,.573,18,23,.783,5,30,35,28,7,1,12,18
2022,GSW,70,2022-03-16,H,BOS,L,88,110,,32,86,.372,11,48,.229,21,38,.553,.436,13,16,.813,7,31,38,19,8,4,8,21,38,81,.469,15,40,.375,23,41,.561,.562,19,22,.864,8,45,53,23,4,4,10,15
2022,GSW,71,2022-03-20,H,SAS,L,108,110,,41,90,.456,11,33,.333,30,57,.526,.517,15,21,.714,20,37,57,26,5,1,15,20,38,98,.388,15,40,.375,23,58,.397,.464,19,25,.760,17,27,44,25,7,2,11,18
2022,GSW,72,2022-03-22,A,ORL,L,90,94,,34,85,.400,11,32,.344,23,53,.434,.465,11,16,.688,12,36,48,21,6,3,18,23,34,79,.430,10,36,.278,24,43,.558,.494,16,20,.800,6,33,39,25,9,6,14,14
2022,GSW,73,2022-03-23,A,MIA,W,118,104,,40,77,.519,15,36,.417,25,41,.610,.617,23,27,.852,7,38,45,23,5,2,13,24,37,85,.435,14,36,.389,23,49,.469,.518,16,21,.762,8,26,34,26,8,1,10,19
2022,GSW,74,2022-03-25,A,ATL,L,110,121,,43,90,.478,14,41,.341,29,49,.592,.556,10,13,.769,14,33,47,27,4,1,16,22,46,89,.517,14,37,.378,32,52,.615,.596,15,19,.789,12,32,44,27,11,4,12,18
2022,GSW,75,2022-03-27,A,WAS,L,115,123,,38,89,.427,8,33,.242,30,56,.536,.472,31,39,.795,13,33,46,20,8,2,10,24,44,84,.524,16,28,.571,28,56,.500,.619,19,22,.864,5,37,42,33,5,8,12,24
2022,GSW,76,2022-03-28,A,MEM,L,95,123,,33,81,.407,9,29,.310,24,52,.462,.463,20,26,.769,7,33,40,18,6,7,17,27,43,92,.467,12,30,.400,31,62,.500,.533,25,35,.714,13,39,52,26,11,3,14,21
2022,GSW,77,2022-03-30,H,PHO,L,103,107,,35,83,.422,13,38,.342,22,45,.489,.500,20,25,.800,10,38,48,26,7,4,21,24,38,92,.413,7,28,.250,31,64,.484,.451,24,30,.800,12,34,46,20,9,1,14,19
2022,GSW,78,2022-04-02,H,UTA,W,111,107,,40,84,.476,20,48,.417,20,36,.556,.595,11,12,.917,6,35,41,30,5,6,11,22,38,89,.427,15,46,.326,23,43,.535,.511,16,22,.727,12,35,47,19,8,2,13,17
2022,GSW,79,2022-04-03,A,SAC,W,109,90,,41,79,.519,16,34,.471,25,45,.556,.620,11,15,.733,7,40,47,29,8,8,17,28,31,81,.383,7,33,.212,24,48,.500,.426,21,24,.875,6,29,35,19,5,1,13,15
2022,GSW,80,2022-04-07,H,LAL,W,128,112,,51,97,.526,16,32,.500,35,65,.538,.608,10,10,1.000,9,36,45,39,10,5,15,26,37,83,.446,9,32,.281,28,51,.549,.500,29,38,.763,8,34,42,14,8,4,19,13
2022,GSW,81,2022-04-09,A,SAS,W,100,94,,33,81,.407,8,32,.250,25,49,.510,.457,26,33,.788,13,38,51,23,8,1,12,22,32,80,.400,10,31,.323,22,49,.449,.463,20,27,.741,4,37,41,19,5,3,12,24
2022,GSW,82,2022-04-10,A,NOP,W,128,107,,49,81,.605,19,33,.576,30,48,.625,.722,11,13,.846,7,34,41,33,5,2,17,15,42,99,.424,14,40,.350,28,59,.475,.495,9,12,.750,18,24,42,24,10,0,12,17
2023,GSW,1,2022-10-18,H,LAL,W,123,109,,45,99,.455,16,45,.356,29,54,.537,.535,17,23,.739,11,37,48,31,11,4,18,23,40,94,.426,10,40,.250,30,54,.556,.479,19,25,.760,9,39,48,23,12,4,22,18
2023,GSW,2,2022-10-21,H,DEN,L,123,128,,42,88,.477,15,44,.341,27,44,.614,.563,24,27,.889,7,28,35,34,10,3,19,23,46,86,.535,15,34,.441,31,52,.596,.622,21,25,.840,12,29,41,30,10,2,20,22
2023,GSW,3,2022-10-23,H,SAC,W,130,125,,45,87,.517,14,33,.424,31,54,.574,.598,26,36,.722,6,31,37,24,7,5,13,21,47,100,.470,11,43,.256,36,57,.632,.525,20,25,.800,13,38,51,31,10,2,16,29
2023,GSW,4,2022-10-25,A,PHO,L,105,134,,41,91,.451,10,35,.286,31,56,.554,.505,13,17,.765,10,30,40,28,7,7,16,28,47,92,.511,12,29,.414,35,63,.556,.576,28,34,.824,14,34,48,31,8,4,14,19
2023,GSW,5,2022-10-27,H,MIA,W,123,110,,46,92,.500,18,46,.391,28,46,.609,.598,13,15,.867,16,34,50,30,4,2,21,13,39,88,.443,14,43,.326,25,45,.556,.523,18,22,.818,8,23,31,25,16,5,12,15
2023,GSW,6,2022-10-29,A,CHO,L,113,120,OT,44,100,.440,13,44,.295,31,56,.554,.505,12,16,.750,10,39,49,31,8,6,10,31,43,102,.422,10,31,.323,33,71,.465,.471,24,31,.774,15,40,55,32,2,2,10,14
2023,GSW,7,2022-10-30,A,DET,L,114,128,,39,92,.424,12,39,.308,27,53,.509,.489,24,25,.960,13,29,42,23,8,4,15,24,40,83,.482,14,33,.424,26,50,.520,.566,34,38,.895,12,35,47,24,4,3,16,25
2023,GSW,8,2022-11-01,A,MIA,L,109,116,,39,84,.464,18,49,.367,21,35,.600,.571,13,17,.765,10,31,41,31,8,5,20,22,40,88,.455,16,42,.381,24,46,.522,.545,20,20,1.000,9,30,39,32,7,3,15,16
2023,GSW,9,2022-11-03,A,ORL,L,129,130,,50,97,.515,19,43,.442,31,54,.574,.613,10,15,.667,9,26,35,31,5,3,14,32,42,78,.538,13,30,.433,29,48,.604,.622,33,46,.717,11,35,46,20,9,6,19,22
2023,GSW,10,2022-11-04,A,NOP,L,105,114,,35,71,.493,12,32,.375,23,39,.590,.577,23,25,.920,3,26,29,23,7,1,23,25,41,81,.506,12,29,.414,29,52,.558,.580,20,29,.690,9,28,37,24,10,2,16,21
2023,GSW,11,2022-11-07,H,SAC,W,116,113,,44,88,.500,14,38,.368,30,50,.600,.580,14,21,.667,8,40,48,28,5,4,15,21,37,91,.407,14,40,.350,23,51,.451,.484,25,29,.862,9,34,43,24,9,0,11,20
2023,GSW,12,2022-11-11,H,CLE,W,106,101,,40,82,.488,15,36,.417,25,46,.543,.579,11,14,.786,8,36,44,29,5,3,15,27,37,92,.402,8,30,.267,29,62,.468,.446,19,26,.731,14,32,46,25,6,3,13,17
2023,GSW,13,2022-11-13,A,SAC,L,115,122,,42,90,.467,16,47,.340,26,43,.605,.556,15,16,.938,8,35,43,27,5,5,18,20,47,91,.516,16,37,.432,31,54,.574,.604,12,19,.632,9,36,45,31,8,2,16,17
2023,GSW,14,2022-11-14,H,SAS,W,132,95,,47,88,.534,23,45,.511,24,43,.558,.665,15,16,.938,5,35,40,35,9,3,13,17,36,100,.360,10,40,.250,26,60,.433,.410,13,19,.684,22,31,53,18,6,6,19,17
2023,GSW,15,2022-11-16,A,PHO,L,119,130,,42,92,.457,18,42,.429,24,50,.480,.554,17,17,1.000,6,34,40,30,5,3,17,23,44,86,.512,21,40,.525,23,46,.500,.634,21,25,.840,8,39,47,33,5,8,16,22
2023,GSW,16,2022-11-18,H,NYK,W,111,101,,41,91,.451,18,50,.360,23,41,.561,.549,11,20,.550,12,39,51,32,8,3,18,26,30,87,.345,9,34,.265,21,53,.396,.397,32,34,.941,13,32,45,16,8,7,16,16
2023,GSW,17,2022-11-20,A,HOU,W,127,120,,46,86,.535,24,47,.511,22,39,.564,.674,11,15,.733,8,32,40,38,8,5,17,22,41,90,.456,15,45,.333,26,45,.578,.539,23,27,.852,12,33,45,24,13,1,14,12
2023,GSW,18,2022-11-21,A,NOP,L,83,128,,28,74,.378,10,43,.233,18,31,.581,.446,17,19,.895,4,30,34,17,9,5,27,20,49,91,.538,15,42,.357,34,49,.694,.621,15,21,.714,11,39,50,30,15,5,14,16
2023,GSW,19,2022-11-23,H,LAC,W,124,107,,48,97,.495,19,51,.373,29,46,.630,.593,9,13,.692,12,33,45,36,11,5,13,26,39,86,.453,11,29,.379,28,57,.491,.517,18,27,.667,10,33,43,22,5,2,17,13
2023,GSW,20,2022-11-25,H,UTA,W,129,118,,52,101,.515,20,45,.444,32,56,.571,.614,5,6,.833,16,33,49,33,8,3,21,15,46,97,.474,11,45,.244,35,52,.673,.531,15,17,.882,15,27,42,28,12,6,13,15
2023,GSW,21,2022-11-27,A,MIN,W,137,114,,50,87,.575,20,47,.426,30,40,.750,.690,17,20,.850,8,39,47,36,7,6,16,26,39,88,.443,14,35,.400,25,53,.472,.523,22,29,.759,6,25,31,22,7,2,14,19
2023,GSW,22,2022-11-29,A,DAL,L,113,116,,42,88,.477,11,43,.256,31,45,.689,.540,18,23,.783,10,40,50,27,6,3,18,23,42,91,.462,15,44,.341,27,47,.574,.544,17,27,.630,8,31,39,21,7,4,14,21
2023,GSW,23,2022-12-02,H,CHI,W,119,111,,42,87,.483,20,50,.400,22,37,.595,.598,15,23,.652,7,43,50,32,2,5,20,19,43,93,.462,9,27,.333,34,66,.515,.511,16,24,.667,6,38,44,28,7,1,12,28
2023,GSW,24,2022-12-03,H,HOU,W,120,101,,45,85,.529,25,52,.481,20,33,.606,.676,5,10,.500,6,29,35,34,8,5,14,24,40,91,.440,3,28,.107,37,63,.587,.456,18,20,.900,14,31,45,17,6,4,15,14
