Season,Team,G,Date,Home,Opp,W/L,Team_pts,Opp_pts,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
2019,BOS,66,2019-03-06,A,SAC,W,111,109,40,79,.506,13,33,.394,18,21,.857,3,35,26,11,1,17,22,40,80,.500,13,29,.448,16,22,.727,6,40,23,8,4,15,21
2019,BOS,67,2019-03-09,A,LAL,W,120,107,48,93,.516,14,38,.368,10,14,.714,6,43,32,6,5,13,17,44,91,.484,5,27,.185,14,18,.778,8,43,28,4,4,12,16
2019,BOS,68,2019-03-11,A,LAC,L,115,140,44,91,.484,14,36,.389,13,19,.684,7,29,26,11,4,13,24,53,86,.616,13,28,.464,21,25,.840,10,47,29,4,1,19,26
2019,BOS,69,2019-03-14,H,SAC,W,126,120,49,97,.505,9,28,.321,19,26,.731,10,52,32,7,2,13,20,48,95,.505,11,34,.324,13,23,.565,8,47,31,9,2,10,24
2019,BOS,70,2019-03-16,H,ATL,W,129,120,44,93,.473,13,36,.361,28,37,.757,11,46,30,10,7,14,21,43,100,.430,15,40,.375,19,24,.792,19,50,27,11,5,17,25
2019,BOS,71,2019-03-18,H,DEN,L,105,114,39,93,.419,12,39,.308,15,19,.789,12,37,24,12,5,12,16,46,94,.489,14,39,.359,8,10,.800,11,51,29,6,5,17,19
2019,BOS,72,2019-03-20,A,PHI,L,115,118,45,96,.469,12,32,.375,13,16,.813,10,46,22,1,3,8,25,34,90,.378,11,33,.333,39,43,.907,17,54,23,5,5,8,17
2019,BOS,73,2019-03-23,A,CHO,L,117,124,44,93,.473,19,43,.442,10,15,.667,7,42,31,6,8,10,23,42,95,.442,18,38,.474,22,28,.786,14,53,26,7,5,11,15
2019,BOS,74,2019-03-24,H,SAS,L,96,115,38,94,.404,7,35,.200,13,16,.813,11,45,23,4,2,8,14,50,98,.510,8,24,.333,7,8,.875,11,51,32,1,4,8,19
2019,BOS,75,2019-03-26,A,CLE,W,116,106,46,91,.505,10,25,.400,14,19,.737,11,46,23,8,3,10,21,39,80,.488,9,28,.321,19,25,.760,3,36,24,4,1,14,21
2019,BOS,76,2019-03-29,H,IND,W,114,112,44,86,.512,13,27,.481,13,17,.765,7,43,27,8,5,14,19,42,90,.467,12,27,.444,16,23,.696,14,41,27,9,2,12,16
2019,BOS,77,2019-03-30,A,BRK,L,96,110,35,83,.422,8,20,.400,18,23,.783,7,39,19,8,7,15,25,38,83,.458,12,38,.316,22,28,.786,5,40,22,7,2,12,17
2019,BOS,78,2019-04-01,H,MIA,W,110,105,36,91,.396,17,40,.425,21,24,.875,14,49,25,8,2,12,18,40,88,.455,10,37,.270,15,18,.833,9,48,27,9,6,15,17
2019,BOS,79,2019-04-03,A,MIA,W,112,102,38,80,.475,9,24,.375,27,31,.871,6,42,25,8,7,11,21,39,95,.411,12,36,.333,12,20,.600,16,47,25,6,5,15,23
2019,BOS,80,2019-04-05,A,IND,W,117,97,48,92,.522,7,27,.259,14,16,.875,7,49,27,7,6,11,15,38,92,.413,10,23,.435,11,19,.579,10,45,24,5,3,11,15
2019,BOS,81,2019-04-07,H,ORL,L,108,116,42,89,.472,12,31,.387,12,14,.857,6,39,28,9,4,13,19,41,90,.456,12,33,.364,22,22,1.000,11,45,29,9,7,14,14
2019,BOS,82,2019-04-09,A,WAS,W,116,110,45,99,.455,15,44,.341,11,23,.478,13,50,27,10,3,5,17,41,97,.423,14,39,.359,14,18,.778,13,58,28,2,3,15,18
2019,BRK,1,2018-10-17,A,DET,L,100,103,40,82,.488,5,27,.185,15,22,.682,5,39,28,9,5,17,23,39,92,.424,6,24,.250,19,22,.864,14,46,21,5,5,14,20
2019,BRK,2,2018-10-19,H,NYK,W,107,105,37,75,.493,12,30,.400,21,24,.875,12,55,22,2,6,22,23,39,97,.402,9,28,.321,18,20,.900,12,36,14,10,1,3,19
2019,BRK,3,2018-10-20,A,IND,L,112,132,41,86,.477,16,37,.432,14,22,.636,9,40,25,6,6,20,18,51,92,.554,16,24,.667,14,22,.636,10,40,21,12,5,10,18
2019,BRK,4,2018-10-24,A,CLE,W,102,86,38,87,.437,14,34,.412,12,15,.800,8,44,23,8,1,14,16,34,89,.382,3,18,.167,15,16,.938,16,53,18,5,2,15,19
2019,BRK,5,2018-10-26,A,NOP,L,115,117,43,98,.439,19,40,.475,10,15,.667,16,54,26,6,8,18,22,44,98,.449,9,23,.391,20,26,.769,15,46,23,11,11,11,20
2019,BRK,6,2018-10-28,H,GSW,L,114,120,42,87,.483,20,42,.476,10,15,.667,5,37,28,5,3,15,20,44,89,.494,11,33,.333,21,24,.875,12,47,28,11,7,12,16
2019,BRK,7,2018-10-29,A,NYK,L,96,115,34,84,.405,11,38,.289,17,22,.773,11,32,22,6,7,10,20,45,92,.489,9,24,.375,16,18,.889,16,53,21,5,3,13,21
2019,BRK,8,2018-10-31,H,DET,W,120,119,43,101,.426,12,38,.316,22,30,.733,18,55,26,5,3,16,33,39,93,.419,11,34,.324,30,39,.769,14,55,16,8,6,16,30
2019,BRK,9,2018-11-02,H,HOU,L,111,119,42,85,.494,15,34,.441,12,20,.600,9,38,22,5,4,10,28,41,83,.494,15,39,.385,22,32,.688,11,41,22,4,10,9,21
2019,BRK,10,2018-11-04,H,PHI,W,122,97,50,105,.476,9,28,.321,13,18,.722,15,38,27,11,3,9,28,31,65,.477,4,20,.200,31,41,.756,9,46,16,6,1,27,21
2019,BRK,11,2018-11-06,A,PHO,W,104,82,41,92,.446,9,36,.250,13,19,.684,13,52,22,9,5,10,22,28,81,.346,9,25,.360,17,20,.850,9,49,16,4,3,20,20
2019,BRK,12,2018-11-09,A,DEN,W,112,110,36,88,.409,12,33,.364,28,42,.667,12,42,21,7,9,8,24,40,87,.460,5,18,.278,25,34,.735,15,54,20,3,5,12,28
2019,BRK,13,2018-11-10,A,GSW,L,100,116,36,77,.468,7,24,.292,21,29,.724,12,41,20,7,2,14,22,46,83,.554,7,16,.438,17,21,.810,6,36,27,9,7,10,24
2019,BRK,14,2018-11-12,A,MIN,L,113,120,40,101,.396,18,50,.360,15,22,.682,19,42,28,10,2,13,29,42,80,.525,10,23,.435,26,31,.839,9,52,26,8,6,23,17
