Season,Team,Gtm,Date,Home,Opp,Rslt,Team_pts,Opp_pts,OT,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,2P,2PA,2P%,eFG%,Team_FT,Team_FTA,Team_FT%,Team_ORB,DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,2P.1,2PA.1,2P%.1,eFG%.1,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,DRB.1,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
2025,DEN,52,2025-02-06,H,ORL,W,112,90,,44,83,.530,12,30,.400,32,53,.604,.602,12,21,.571,12,40,52,33,7,4,20,22,31,84,.369,5,31,.161,26,53,.491,.399,23,30,.767,13,27,40,21,10,8,14,15
2025,DEN,53,2025-02-08,A,PHO,W,122,105,,45,92,.489,16,35,.457,29,57,.509,.576,16,17,.941,15,41,56,28,5,4,10,13,38,98,.388,17,50,.340,21,48,.438,.474,12,15,.800,17,26,43,25,5,6,6,15
2025,DEN,54,2025-02-10,H,POR,W,146,117,,60,91,.659,8,25,.320,52,66,.788,.703,18,20,.900,6,32,38,44,12,2,10,23,40,88,.455,15,37,.405,25,51,.490,.540,22,26,.846,10,23,33,25,4,4,16,20
2025,DEN,55,2025-02-12,H,POR,W,132,121,,49,96,.510,15,38,.395,34,58,.586,.589,19,24,.792,12,37,49,26,9,7,14,20,43,94,.457,14,38,.368,29,56,.518,.532,21,29,.724,14,31,45,27,7,6,12,19
2025,DEN,56,2025-02-20,H,CHO,W,129,115,,49,98,.500,19,43,.442,30,55,.545,.597,12,16,.750,16,39,55,29,3,3,14,14,43,99,.434,15,37,.405,28,62,.452,.510,14,17,.824,14,31,45,28,10,2,10,21
2025,DEN,57,2025-02-22,H,LAL,L,100,123,,34,85,.400,16,41,.390,18,44,.409,.494,16,21,.762,12,33,45,28,6,1,22,18,43,86,.500,16,41,.390,27,45,.600,.593,21,25,.840,9,30,39,27,15,9,9,20
2025,DEN,58,2025-02-24,A,IND,W,125,116,,53,94,.564,8,21,.381,45,73,.616,.606,11,14,.786,14,32,46,39,8,4,20,21,40,85,.471,14,43,.326,26,42,.619,.553,22,27,.815,8,24,32,29,11,3,18,14
2025,DEN,59,2025-02-27,A,MIL,L,112,121,,47,105,.448,9,34,.265,38,71,.535,.490,9,11,.818,14,41,55,28,8,2,13,17,42,90,.467,14,34,.412,28,56,.500,.544,23,28,.821,7,41,48,25,8,4,11,11
2025,DEN,60,2025-02-28,A,DET,W,134,119,,47,84,.560,17,31,.548,30,53,.566,.661,23,31,.742,10,40,50,28,5,8,20,18,45,99,.455,12,37,.324,33,62,.532,.515,17,23,.739,14,28,42,32,15,3,11,22
2025,DEN,61,2025-03-02,A,BOS,L,103,110,,41,86,.477,12,35,.343,29,51,.569,.547,9,13,.692,8,30,38,27,11,2,12,18,37,78,.474,14,34,.412,23,44,.523,.564,22,27,.815,10,35,45,26,7,4,14,18
2025,DEN,62,2025-03-05,H,SAC,W,116,110,,40,87,.460,12,35,.343,28,52,.538,.529,24,30,.800,11,35,46,28,5,8,13,14,44,96,.458,11,27,.407,33,69,.478,.516,11,14,.786,14,31,45,22,8,6,12,20
2025,DEN,63,2025-03-07,H,PHO,W,149,141,OT,57,97,.588,21,40,.525,36,57,.632,.696,14,18,.778,8,30,38,45,8,3,9,22,51,91,.560,16,38,.421,35,53,.660,.648,23,29,.793,7,32,39,36,6,2,13,18
2025,DEN,64,2025-03-09,A,OKC,L,103,127,,40,97,.412,12,40,.300,28,57,.491,.474,11,20,.550,14,34,48,22,3,6,8,18,46,94,.489,13,38,.342,33,56,.589,.559,22,25,.880,10,46,56,25,5,14,5,20
2025,DEN,65,2025-03-10,A,OKC,W,140,127,,52,86,.605,18,32,.563,34,54,.630,.709,18,20,.900,9,34,43,32,6,5,12,18,47,100,.470,19,47,.404,28,53,.528,.565,14,16,.875,13,24,37,29,9,6,11,16
